Year,Month,dom.pass,int.pass,total.pass
2002,10,48054917,4818224,52873141
2002,11,44850246,4576424,49426670
2002,12,49684353,5059421,54743774
2002,TOTAL,551899643,60878039,612777682
2003,1,43032450,4905830,47938280
2003,2,41166780,4245366,45412146
2003,3,49992700,5008613,55001313
2003,4,47033260,4345444,51378704
2003,5,49152352,4610834,53763186
2003,6,52209516,5411504,57621020
2003,7,55810773,6191120,62001893
2003,8,53920973,6272332,60193305
2003,9,44213408,4824596,49038004
2003,10,49944931,4920822,54865753
2003,11,47059495,4845759,51905254
2003,12,49757124,5358991,55116115
2003,TOTAL,583293762,60941211,644234973
2004,1,43815481,5255246,49070727
2004,2,45306597,4941629,50248226
2004,3,54147227,5805703,59952930
2004,4,53253194,5664027,58917221
2004,5,53030873,5767517,58798390
2004,6,56959142,6405771,63364913
2004,7,59614287,7183275,66797562
2004,8,57380873,6986797,64367670
2004,9,47671785,5396245,53068030
2004,10,54167489,5629964,59797453
2004,11,51781700,5384214,57165914
2004,12,52639838,6041853,58681691
2004,TOTAL,629768486,70462241,700230727
2005,1,47977657,6158509,54136166
2005,2,47074882,5499590,52574472
2005,3,58838975,6964313,65803288
2005,4,54908859,6388741,61297600
2005,5,57323876,6575254,63899130
2005,6,59724061,7123126,66847187
2005,7,62396446,7867346,70263792
2005,8,59110633,7419187,66529820
2005,9,50600325,5933841,56534166
2005,10,53738093,5873755,59611848
2005,11,52766404,5644497,58410901
2005,12,52801276,6395022,59196298
2005,TOTAL,657261487,77843181,735104668
2006,1,48886043,6402933,55288976
2006,2,47348142,5706909,53055051
2006,3,58286011,7221839,65507850
2006,4,55828555,7036629,62865184
2006,5,57145193,6997054,64142247
2006,6,59297121,7625061,66922182
2006,7,60838606,8340003,69178609
2006,8,58303233,7843848,66147081
2006,9,49949551,6189973,56139524
2006,10,55088983,6281017,61370000
2006,11,53852209,6173261,60025470
2006,12,53538970,6917055,60456025
2006,TOTAL,658362617,82735582,741098199
2007,1,50022168,6854636,56876804
2007,2,47766421,6078593,53845014
2007,3,59244232,7647510,66891742
2007,4,57396328,7233785,64630113
2007,5,59283597,7244944,66528541
2007,6,61493934,7953495,69447429
2007,7,63457403,8696119,72153522
2007,8,62657667,8429481,71087148
2007,9,52308015,6665909,58973924
2007,10,57206249,6734727,63940976
2007,11,55044206,6616131,61660337
2007,12,53288538,7302494,60591032
2007,TOTAL,679168758,87457824,766626582
2008,1,50245100,7214702,57459802
2008,2,50118363,6691283,56809646
2008,3,59213077,8257253,67470330
2008,4,55611053,7361463,62972516
2008,5,58047400,7747506,65794906
2008,6,59559171,8168145,67727316
2008,7,61401480,8831861,70233341
2008,8,58966473,8629543,67596016
2008,9,47680001,6327854,54007855
2008,10,52956023,6473043,59429066
2008,11,47658141,6167102,53825243
2008,12,50253658,6881238,57134896
2008,TOTAL,651709940,88750993,740460933
2009,1,44821711,6737730,51559441
2009,2,43677233,5970396,49647629
2009,3,53531487,7227487,60758974
2009,4,52245401,7086357,59331758
2009,5,52948582,6597012,59545594
2009,6,55898027,7460171,63358198
2009,7,59468957,8399115,67868072
2009,8,56568180,8217868,64786048
2009,9,48235025,6219954,54454979
2009,10,52279405,6295084,58574489
2009,11,48584832,6008261,54593093
2009,12,49793438,6892742,56686180
2009,TOTAL,618052278,83112177,701164455
2010,1,45501620,6816044,52317664
2010,2,42440614,6014415,48455029
2010,3,54424077,7531317,61955394
2010,4,52498074,6941422,59439496
2010,5,53842422,7402599,61245021
2010,6,56689853,8100494,64790347
2010,7,59142493,9052302,68194795
2010,8,57370748,8646519,66017267
2010,9,50304708,6847457,57152165
2010,10,54826050,7072483,61898533
2010,11,51420350,6510189,57930539
2010,12,51076415,7271391,58347806
2010,TOTAL,629537424,88206632,717744056
2011,1,46304921,7155472,53460393
2011,2,43657818,6205658,49863476
2011,3,55649428,7733473,63382901
2011,4,52858479,7495073,60353552
2011,5,55982234,7671950,63654184
2011,6,57778699,8256632,66035331
2011,7,60310295,9384241,69694536
2011,8,57403835,8677482,66081317
2011,9,50982170,6893283,57875453
2011,10,54124363,6884408,61008771
2011,11,51660083,6431880,58091963
2011,12,51534907,7331513,58866420
2011,TOTAL,638247232,90121065,728368297
2012,1,47080430,7155733,54236163
2012,2,46405102,6518477,52923579
2012,3,56200104,8059960,64260064
2012,4,53691455,7608446,61299901
2012,5,55749349,7728905,63478254
2012,6,57903293,8509172,66412465
2012,7,59688267,9298946,68987213
2012,8,58646304,8892354,67538658
2012,9,50134504,7098414,57232918
2012,10,53779646,6952685,60732331
2012,11,51844482,6710058,58554540
2012,12,51165451,7500932,58666383
2012,TOTAL,642288387,92034082,734322469
2013,1,47816859,7331420,55148279
2013,2,45740158,6564112,52304270
2013,3,56564538,8327386,64891924
2013,4,53228575,7562330,60790905
2013,5,56562929,8023420,64586349
2013,6,57990789,8883643,66874432
2013,7,59310478,9709009,69019487
2013,8,58115405,9403309,67518714
2013,9,50766098,7255037,58021135
2013,10,54706177,7274427,61980604
2013,11,50542332,6880849,57423181
2013,12,54332936,7967171,62300107
2013,TOTAL,645677274,95182113,740859387
2014,1,47957371,7671576,55628947
2014,2,45513184,6770046,52283230
2014,3,57761938,8503133,66265071
2014,4,55247482,8094515,63341997
2014,5,57888637,8479378,66368015
2014,6,59261855,9196927,68458782
2014,7,61757222,9988913,71746135
2014,8,59758814,9629317,69388131
2014,9,52529329,7342936,59872265
2014,10,57084257,7286846,64371103
2014,11,52577733,7049844,59627577
2014,12,55486727,8165573,63652300
2014,TOTAL,662824549,98179004,761003553
2015,1,49727583,7936993,57664576
2015,2,47164464,6886262,54050726
2015,3,59556586,8524515,68081101
2015,4,57697344,8119223,65816567
2015,5,60251473,8567847,68819320
2015,6,61810705,9352818,71163523
2015,7,65128528,10395270,75523798
2015,8,62770180,9981208,72751388
2015,9,55989104,7656359,63645463
2015,10,60902787,7739519,68642306
2015,11,57150501,7332481,64482982
2015,12,57870281,8410860,66281141
2015,TOTAL,696019536,100903355,796922891
2016,1,52463502,8218902,60682404
2016,TOTAL,52463502,8218902,60682404
