"date","p_low","p_mean","p_upper"
2016-02-01,49241001.0577538,51241073.9126412,53241146.7675287
2016-03-01,59641970.775964,61939819.4488646,64237668.1217652
2016-04-01,56850949.5043998,59412184.6795144,61973419.8546291
2016-05-01,58526443.2419703,61326397.2989038,64126351.3558372
2016-06-01,60502009.9256261,63521870.8197123,66541731.7137985
2016-07-01,62682722.9290411,65907529.4222008,69132335.9153604
2016-08-01,60329475.1349172,63746958.7145439,67164442.2941706
2016-09-01,51639383.9346211,55239246.5869609,58839109.2393008
2016-10-01,55904708.1891282,59678145.3774758,63451582.5658234
2016-11-01,52645855.5844734,56585226.7669209,60524597.9493685
2016-12-01,53572131.5121055,57670724.2476419,61769316.9831783
2017-01-01,48503188.6391736,52755044.6469054,57006900.6546372
2017-02-01,46841290.2123693,51241073.9126412,55640857.6129131
2017-03-01,57396922.3877513,61939819.4488646,66482716.5099779
2017-04-01,54730547.0593472,59412184.6795144,64093822.2996817
2017-05-01,56510014.0183437,61326397.2989038,66142780.5794638
2017-06-01,58574410.3596427,63521870.8197123,68469331.2797819
2017-07-01,60832376.0153917,65907529.4222008,70982682.8290098
2017-08-01,58547247.2608824,63746958.7145439,68946670.1682055
2017-09-01,49917891.8440376,55239246.5869609,60560601.3298842
2017-10-01,54237866.57959,59678145.3774758,65118424.1753616
2017-11-01,51028568.5538023,56585226.7669209,62141884.9800396
2017-12-01,52000074.5850272,57670724.2476419,63341373.9102566
2018-01-01,46972650.273049,52755044.6469054,58537439.0207618
